Year,State,State.abb,Age,Gender,New_heart_disease_crude_value,New_teeth_removal_value,New_dental_visit_value,New_grocery_stores_value,New_supercenter_value,New_convenience_stores_value,New_fastfood_restaurant_value,New_fullservice_restaurant_value,New_foodinsecurity_value,New_farmersmarket_value
1999,Hawaii,HI,75-84,Female,1463.7,56.2,77,712.02,67.99,4485.94,3629.86,4291.91,12.20,312.72
1999,Hawaii,HI,55-64,Female,202.9,56.2,77,712.18,67.91,4484.44,3627.25,4290.1,12.20,290.99
1999,Hawaii,HI,45-54,Male,162.5,56.2,77,712.01,67.99,4485.85,3629.75,4291.83,12.20,269.72
1999,Hawaii,HI,35-44,Female,5444.94,56.2,77,711.6,68.31,4492.25,3640.34,4299.38,12.20,249.13
1999,Idaho,ID,85+,Female,7058.8,53.2,65.9,711.85,68.12,4488.38,3633.93,4294.81,12.20,229.41
1999,Idaho,ID,55-64,Female,150.7,53.2,65.9,713.32,66.95,4464.42,3594.47,4266.58,12.20,210.8
1999,Idaho,ID,55-64,Male,325.4,53.2,65.9,712.88,67.29,4471.53,3606.18,4274.95,12.19,193.51
1999,Idaho,ID,45-54,Male,109.8,53.2,65.9,707.63,71.51,4557.92,3748.36,4376.7,12.22,177.75
1999,Idaho,ID,75-84,Male,2860.3,53.2,65.9,707.73,71.43,4556.44,3745.93,4374.96,12.20,163.74
1999,Idaho,ID,35-44,Female,21.8,53.2,65.9,727.79,55.31,4225.7,3201.62,3985.45,11.69,151.7
1999,Idaho,ID,75-84,Female,1820.6,53.2,65.9,758.03,31.01,3727.39,2381.54,3398.6,11.55,141.84
1999,Idaho,ID,45-54,Female,57.5,53.2,65.9,773.55,18.54,3471.59,1960.57,3097.35,11.62,134.38
1999,Idaho,ID,65-74,Male,1027.9,53.2,65.9,771.17,20.45,3510.74,2024.99,3143.45,11.60,129.53
1999,Idaho,ID,35-44,Male,35.9,53.2,65.9,766.66,24.08,3585.12,2147.41,3231.05,11.60,127.48
1999,Idaho,ID,65-74,Female,503,53.2,65.9,766.98,23.82,3579.76,2138.58,3224.74,11.60,127.58
1999,Idaho,ID,85+,Male,8771.9,53.2,65.9,768.31,22.75,3557.97,2102.73,3199.08,11.60,128.11
1999,Illinois,IL,45-54,Male,180.7,47.2,72.4,768.32,22.75,3557.83,2102.48,3198.9,11.60,128.13
1999,Illinois,IL,55-64,Male,492.6,47.2,72.4,767.94,23.05,3564.02,2112.69,3206.21,11.60,127.98
1999,Illinois,IL,75-84,Female,2143,47.2,72.4,767.9,23.08,3564.53,2113.54,3206.8,11.60,127.96
1999,Illinois,IL,65-74,Male,1278.5,47.2,72.4,768.01,22.99,3562.84,2110.73,3204.81,11.60,128
1999,Illinois,IL,45-54,Female,77,47.2,72.4,768.05,22.98,3562.65,2110.31,3204.56,11.61,128.01
1999,Illinois,IL,85+,Male,9075.4,47.2,72.4,768,23,3563,2111.01,3205,11.58,128
1999,Illinois,IL,65-74,Female,676.5,47.2,72.4,767.91,23,3562.75,2111.01,3204.8,11.66,128
1999,Illinois,IL,85+,Female,8152.8,47.2,72.4,767.98,23,3562.92,2110.97,3204.93,11.51,128
1999,Illinois,IL,35-44,Male,56.8,47.2,72.4,768.29,23.01,3564.29,2111.66,3206.17,10.82,127.99
1999,Illinois,IL,75-84,Male,3257.2,47.2,72.4,768.15,23,3563.68,2111.36,3205.62,10.76,127.99
1999,Illinois,IL,35-44,Female,27.5,47.2,72.4,767.01,22.98,3558.52,2108.58,3200.92,10.82,128.05
1999,Illinois,IL,55-64,Female,231.4,47.2,72.4,767.2,22.98,3559.36,2109.02,3201.68,10.79,128.04
1999,Indiana,IN,65-74,Female,764.2,50.6,68.3,771.24,23.08,3577.75,2119.01,3218.43,10.80,127.85
1999,Indiana,IN,65-74,Male,1291.5,50.6,68.3,771.68,23.09,3579.77,2120.11,3220.27,10.80,127.81
1999,Indiana,IN,35-44,Male,57,50.6,68.3,757.7,22.75,3516.1,2085.53,3162.29,10.80,128.48
1999,Indiana,IN,35-44,Female,23.6,50.6,68.3,752.35,22.62,3491.7,2072.28,3140.07,10.80,128.78
1999,Indiana,IN,85+,Male,8984.5,50.6,68.3,799.43,23.76,3706.12,2188.72,3335.34,10.80,126.56
1999,Indiana,IN,55-64,Male,470.8,50.6,68.3,831.19,24.54,3850.79,2267.29,3467.09,10.80,124.88
1999,Indiana,IN,45-54,Male,186.1,50.6,68.3,673.18,20.69,3131.17,1876.49,2811.75,10.80,132.06
1999,Indiana,IN,45-54,Female,74,50.6,68.3,342.04,12.64,1623.04,1057.49,1438.33,10.79,140.01
1999,Indiana,IN,55-64,Female,237.4,50.6,68.3,109.01,6.98,561.78,481.15,471.86,10.86,117.36
1999,Indiana,IN,75-84,Female,2325.7,50.6,68.3,99.94,6.76,520.45,458.71,434.22,10.58,58.83
1999,Indiana,IN,85+,Female,8355.3,50.6,68.3,158.93,8.19,789.14,604.62,678.91,11.37,11.34
1999,Indiana,IN,75-84,Male,3292.2,50.6,68.3,166.13,8.37,821.92,622.43,708.77,13.12,5.5
1999,Iowa,IA,45-54,Male,134.3,40,72.1,149.98,7.98,748.34,582.47,641.76,13.04,16.46
1999,Iowa,IA,65-74,Male,1081.1,40,72.1,146.62,7.89,733.07,574.18,627.85,12.96,19.02
1999,Iowa,IA,75-84,Female,1955.2,40,72.1,150.92,8,752.62,584.79,645.66,13.02,16.13
1999,Iowa,IA,45-54,Female,56.7,40,72.1,152.24,8.03,758.63,588.06,651.12,13.00,15.15
1999,Iowa,IA,85+,Female,7856.4,40,72.1,151.13,8,753.61,585.33,646.56,13.00,15.89
1999,Iowa,IA,75-84,Male,2942.4,40,72.1,150.66,7.99,751.45,584.15,644.59,13.00,16.23
1999,Iowa,IA,55-64,Male,377.5,40,72.1,150.93,8,752.69,584.83,645.71,13.00,16.05
1999,Iowa,IA,65-74,Female,558.7,40,72.1,151.1,8,753.42,585.24,646.38,13.00,15.94
1999,Iowa,IA,55-64,Female,173.3,40,72.1,151.03,8,753.13,585.09,646.12,12.99,15.98
1999,Iowa,IA,35-44,Male,42.3,40,72.1,150.96,8,752.89,584.89,645.9,13.01,16.02
1999,Iowa,IA,35-44,Female,24.5,40,72.1,150.97,8,752.96,584.9,645.96,13.00,16.01
1999,Iowa,IA,85+,Male,8697.1,40,72.1,151.05,7.99,753.02,585.18,646.02,12.92,15.99
1999,Kansas,KS,45-54,Male,142.2,56.2,70.5,151.08,7.98,752.99,585.3,646.01,13.41,15.99
1999,Kansas,KS,65-74,Male,1124.3,56.2,70.5,150.87,8.03,753.03,584.49,646,11.39,16.01
1999,Kansas,KS,75-84,Female,1970.7,56.2,70.5,150.71,8.06,753.08,583.84,646,8.83,16.01
1999,Kansas,KS,35-44,Male,41,56.2,70.5,151.35,7.93,752.9,586.4,645.99,9.23,15.99
1999,Kansas,KS,45-54,Female,46,56.2,70.5,152.1,7.77,752.68,589.44,645.97,9.23,15.95
1999,Kansas,KS,85+,Female,7689.8,56.2,70.5,150.13,8.18,753.25,581.49,646.02,9.18,16.03
1999,Kansas,KS,85+,Male,8586.2,56.2,70.5,146.92,8.86,754.18,568.47,646.11,9.21,16.17
1999,Kansas,KS,65-74,Female,576.1,56.2,70.5,152.75,7.63,752.49,592.09,645.95,9.20,15.94
1999,Kansas,KS,55-64,Female,223.2,56.2,70.5,171.82,3.62,746.97,669.39,645.45,9.20,15.38
1999,Kansas,KS,55-64,Male,390.6,56.2,70.5,189.37,1.92,741.89,740.49,644.99,9.20,16
1999,Kansas,KS,35-44,Female,20.8,56.2,70.5,192.86,1.92,740.88,754.63,644.9,9.20,18.82
1999,Kansas,KS,75-84,Male,2825.9,56.2,70.5,189.23,1.92,741.93,739.94,644.99,9.20,21.79
1999,Kentucky,KY,55-64,Male,571,38.5,64.4,187.92,0.23,742.32,734.64,645.04,9.20,22.64
1999,Kentucky,KY,75-84,Male,3469.3,38.5,64.4,188.84,0.03,742.05,738.34,645.01,9.19,22.12
1999,Kentucky,KY,35-44,Female,38.8,38.5,64.4,189.29,0.97,741.88,740.17,644.96,9.20,21.83
1999,Kentucky,KY,85+,Female,8692.5,38.5,64.4,189.07,1.92,741.95,739.28,644.98,9.27,21.95
1999,Kentucky,KY,85+,Male,9472.2,38.5,64.4,188.95,0.02,742.13,738.76,645.1,8.78,22.05
1999,Kentucky,KY,45-54,Male,201.5,38.5,64.4,189,0.01,742.13,738.97,645.11,8.42,22.02
1999,Kentucky,KY,55-64,Female,270.3,38.5,64.4,188.94,0.01,741.64,738.84,644.7,8.52,21.99
1999,Kentucky,KY,45-54,Female,87.1,38.5,64.4,188.89,0.01,741.47,738.68,644.55,8.50,21.99
1999,Kentucky,KY,65-74,Female,790.2,38.5,64.4,189.24,0.02,743.07,739.71,645.92,8.50,22.01
1999,Kentucky,KY,75-84,Female,2482.2,38.5,64.4,189.49,0.03,744.12,740.43,646.81,8.50,22.01
1999,Kentucky,KY,65-74,Male,1461.4,38.5,64.4,188.28,0.04,738.89,736.88,642.35,8.50,21.98
1999,Kentucky,KY,35-44,Male,57.8,38.5,64.4,187.09,0.11,733.75,733.37,637.95,8.50,21.95
1999,Louisiana,LA,65-74,Male,1360,45,64.3,190.93,0.11,750.3,744.66,652.08,8.50,22.04
1999,Louisiana,LA,55-64,Male,586,45,64.3,196.24,0.43,773.18,760.28,671.62,8.50,22.17
1999,Louisiana,LA,35-44,Female,38.9,45,64.3,184.55,0.27,722.83,725.91,628.64,8.50,21.92
1999,Louisiana,LA,85+,Male,8833.5,45,64.3,162.37,0.35,627.24,660.66,547.04,8.51,21.37
1999,Louisiana,LA,55-64,Female,301.3,45,64.3,196.15,0.42,772.82,760.04,671.31,8.48,22.1
1999,Louisiana,LA,75-84,Male,3248.3,45,64.3,284.69,5.68,1154.37,1020.48,996.97,8.52,24.23
1999,Louisiana,LA,65-74,Female,832,45,64.3,193.49,0.27,761.36,752.21,661.52,8.54,22.34
1999,Louisiana,LA,75-84,Female,2385.8,45,64.3,133.81,41.83,504.18,576.66,442.01,7.82,14.22
1999,Louisiana,LA,45-54,Male,232.1,45,64.3,74.13,62.61,247,401.11,222.5,7.51,18.55
1999,Louisiana,LA,85+,Female,8165.4,45,64.3,1594.64,83.4,6799.25,4873.72,5815.11,7.63,53.74
1999,Louisiana,LA,35-44,Male,76,45,64.3,3399.51,190.48,14576.91,10182.81,12453.67,7.60,97.12
